Species,
Funtumia sp.,
Polyalthia sp.,
Maesopsis eminii,
Isolona hexaloba,
Cola lateritia,
Oncoba mannii,
Hexalobus crispiflorus,
Phyllocosmus sp.,
Diospyros iturensis,
Treculia sp.,
Spathodea campanulata,
Crudia liberica,
Anthocleista sp.,
Rothmannia sp.,
Plagiosiphon gabonensis,
Omphalocarpum elatum,
Dichaetanthera africana,
Psychotria vogeliana,
Diospyros melocarpa,
Uvariastrum sp.,
Tetrorchidium didymostemon,
Blighia sp.,
Garcinia epunctata,
Macaranga barteri,
Guibourtia ehie,
Cola altissima,
Maranthes chrysophylla,
Amanoa sp.,
Detarium macrocarpum,
Scottellia sp.,
Myrianthus serratus,
Pausinystalia sp.,
Ficus sp.,
Baikiaea sp.,
Lecomtedoxa nogo,
Baikiaea insignis,
Pseudospondias longifolia,
Anthocleista vogelii,
Rinorea sp.,
Bridelia micrantha,
Picralima nitida,
Lasiodiscus sp.,
Microdesmis puberula,
Sorindeia sp.,
Didelotia africana,
Cola flavovelutina,
Sapium sp.,
Pentadesma sp.,
Dialium lopense,
Prioria joveri,
Mareyopsis longifolia,
Antiaris toxicaria,
Pterocarpus macrocarpus,
Newtonia sp.,
Xylopia rubescens,
Brenania brieyi,
Irvingia excelsa,
Sterculia tragacantha,
Oncoba sp.,
Berlinia auriculata,
Treculia obovoidea,
Rhabdophyllum sp.,
Heinsia crinita,
Hymenostegia floribunda,
Tessmannia sp.,
Diospyros mannii,
Massularia acuminata,
Samanea leptophylla,
Ochna sp.,
Hylodesmum sp.,
Antidesma membranaceum,
Berlinia congolensis,
Cola digitata,
Aphanocalyx microphyllus,
Cleistopholis patens,
Xylopia phloiodora,
Pancovia laurentii,
Antidesma vogelianum,
Heisteria sp.,
Lannea welwitschii,
Mareyopsis sp.,
Calpocalyx heitzii,
Berlinia confusa,
Garcinia punctata,
Tricalysia sp.,
Napoleonaea sp.,
Mareya micrantha,
Eriocoelum macrocarpum,
Raphia sp.,
Macaranga spinosa,
Ficus exasperata,
Diospyros bipindensis,
Aphanocalyx margininervatus,
Lasianthera africana,
Didelotia brevipaniculata,
Vitex sp.,
Bridelia sp.,
Strephonema sericeum,
Thomandersia congolana,
Claoxylon sp.,
Pauridiantha sp.,
Tridesmostemon omphalocarpoides,
Warneckea sp.,
Duguetia staudtii,
Funtumia africana,
Markhamia tomentosa,
Pentadesma butyracea,
Pterocarpus sp.,
Chytranthus sp.,
Zanthoxylum sp.,
Bombax brevicuspe,
Campylospermum sp.,
Diospyros fragrans,
Tabernaemontana crassa,
Duguetia sp.,
Afzelia sp.,
Coffea sp.,
Lindackeria sp.,
Pterygota sp.,
Monodora sp.,
Ctenolophon englerianus,
Nauclea pobeguinii,
Rauvolfia vomitoria,
Greenwayodendron sp.,
